locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
1519816,East Irvine - Northwood,temperature,20.730059305826824,"{'utc': '2024-07-19T09:00:00+00:00', 'local': '2024-07-19T02:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,21.052008946736652,"{'utc': '2024-07-19T08:00:00+00:00', 'local': '2024-07-19T01:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,21.311190605163574,"{'utc': '2024-07-19T07:00:00+00:00', 'local': '2024-07-19T00:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,21.65074412027995,"{'utc': '2024-07-19T06:00:00+00:00', 'local': '2024-07-18T23:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.27343765894572,"{'utc': '2024-07-19T05:00:00+00:00', 'local': '2024-07-18T22:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,23.225595315297443,"{'utc': '2024-07-19T04:00:00+00:00', 'local': '2024-07-18T21:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,24.747678756713867,"{'utc': '2024-07-19T03:00:00+00:00', 'local': '2024-07-18T20:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,26.282708168029785,"{'utc': '2024-07-19T02:00:00+00:00', 'local': '2024-07-18T19:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,28.204850991566975,"{'utc': '2024-07-19T01:00:00+00:00', 'local': '2024-07-18T18:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,29.12260389328003,"{'utc': '2024-07-19T00:00:00+00:00', 'local': '2024-07-18T17:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,29.458422819773357,"{'utc': '2024-07-18T23:00:00+00:00', 'local': '2024-07-18T16:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,30.70361614227295,"{'utc': '2024-07-18T22:00:00+00:00', 'local': '2024-07-18T15:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,31.785520712534588,"{'utc': '2024-07-18T21:00:00+00:00', 'local': '2024-07-18T14:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,32.534538904825844,"{'utc': '2024-07-18T20:00:00+00:00', 'local': '2024-07-18T13:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,32.65569877624512,"{'utc': '2024-07-18T19:00:00+00:00', 'local': '2024-07-18T12:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,32.39196443557739,"{'utc': '2024-07-18T18:00:00+00:00', 'local': '2024-07-18T11:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,31.104806582132976,"{'utc': '2024-07-18T17:00:00+00:00', 'local': '2024-07-18T10:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,25.826815287272137,"{'utc': '2024-07-18T16:00:00+00:00', 'local': '2024-07-18T09:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.85391362508138,"{'utc': '2024-07-18T15:00:00+00:00', 'local': '2024-07-18T08:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.453571796417236,"{'utc': '2024-07-18T14:00:00+00:00', 'local': '2024-07-18T07:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.47736628850301,"{'utc': '2024-07-18T13:00:00+00:00', 'local': '2024-07-18T06:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.725520928700764,"{'utc': '2024-07-18T12:00:00+00:00', 'local': '2024-07-18T05:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.390907923380535,"{'utc': '2024-07-18T11:00:00+00:00', 'local': '2024-07-18T04:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.426860014597576,"{'utc': '2024-07-18T10:00:00+00:00', 'local': '2024-07-18T03:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.4638245900472,"{'utc': '2024-07-18T09:00:00+00:00', 'local': '2024-07-18T02:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.35641384124756,"{'utc': '2024-07-18T08:00:00+00:00', 'local': '2024-07-18T01:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
1519816,East Irvine - Northwood,temperature,22.37489589055379,"{'utc': '2024-07-18T07:00:00+00:00', 'local': '2024-07-18T00:00:00-07:00'}",c,"{'latitude': 33.716054, 'longitude': -117.74926}",US,,False,,Governmental Organization,low-cost sensor
